Defect#,Name,Description,RCA Category,Root Cause,Resolution,Corrective and Preventive Action Taken,Notes,Actual Defect Reason,Revised RCA
DE259698,[Prod Issue][LexPro D&O][Email]Financials Not Pulling - LexPro UWA,"Request Type: (Report an Issue / Improvement/ Ask a question) Report an issueLOB: LexPro D&OLocation: Chicago, ILDescription: Financials not pulling into UWA despite being in the pulled documentsDate/Time detected if different: 11:30AM CSTSteps to replicate the issue: Open the submission and check the financial sectionControl ID/ Submission #:8909353Does this affect other users: NoDoes this issue prevent you from processing the submission? NoBrowser URL of the page issue reported: https://uwa-lpdo.cyclamen.palantirfoundry.com/submission/1ed0e6cc-bcff-47c8-bcde-69f9ce96a916Attachments/Screenshots (if any): ",Back-end Code Issue,Fixed it by re-run the  extraction,Code issue,Palantir team fixed it by chaining the configuration.,"The Financial extractors for balance Sheet, income statement and cash flow statement failed after reattempting with the following error logged in functions repo this is a know issue and Palantir team working on the RCA and fix""""Failed extraction: lpdo-execute-balance-sheet-extraction, run_id = 1ed0e6cc-bcff-47c8-bcde-69f9ce96a916_1772132257.3375351, request_url = https://cyclamen.palantirfoundry.com/api/v1/ontologies/ri.ontology.main.ontology.246a6a08-89d8-4efe-a3b1-582374523a74/actions/lpdo-execute-balance-sheet-extraction/apply, payload = {'parameters': {'extractionConfig': 'balance_sheet', 'submissionId': '1ed0e6cc-bcff-47c8-bcde-69f9ce96a916', 'extractionRunId': 'a5b2074f-7df0-43c7-af3e-7ab8d6e13abe'}}, response_status = 400, response_body = {'errorCode': 'INVALID_ARGUMENT', 'errorName': 'ApplyActionFailed', 'errorInstanceId': 'c813f3f6-f556-4d1a-81c5-5b326e2693da', 'parameters': {'originalErrorName': 'Actions:UnsupportedSequenceOfObjectEdits', 'userErrorMessage': 'An unknown error has occurred', 'builderErrorMessage': 'An unknown error has occurred. Error name: Actions:UnsupportedSequenceOfObjectEdits'}}, start_time = 108.7, attempt_number = 3"""" """"Failed extraction: lpdo-execute-cash-flow-statement-extraction, run_id = 1ed0e6cc-bcff-47c8-bcde-69f9ce96a916_1772132257.3375351, request_url = https://cyclamen.palantirfoundry.com/api/v1/ontologies/ri.ontology.main.ontology.246a6a08-89d8-4efe-a3b1-582374523a74/actions/lpdo-execute-cash-flow-statement-extraction/apply, payload = {'parameters': {'extractionConfig': 'cash_flow_statement', 'submissionId': '1ed0e6cc-bcff-47c8-bcde-69f9ce96a916', 'extractionRunId': 'a5b2074f-7df0-43c7-af3e-7ab8d6e13abe'}}, response_status = 400, response_body = {'errorCode': 'INVALID_ARGUMENT', 'errorName': 'ApplyActionFailed', 'errorInstanceId': '4b20e313-f7a1-4cb7-b837-d940b4493bfd', 'parameters': {'originalErrorName': 'Actions:UnsupportedSequenceOfObjectEdits', 'userErrorMessage': 'An unknown error has occurred', 'builderErrorMessage': 'An unknown error has occurred. Error name: Actions:UnsupportedSequenceOfObjectEdits'}}, start_time = 115.75, attempt_number = 3"""" """"Failed extraction: lpdo-execute-income-statement-extraction, run_id = 1ed0e6cc-bcff-47c8-bcde-69f9ce96a916_1772132257.3375351, request_url = https://cyclamen.palantirfoundry.com/api/v1/ontologies/ri.ontology.main.ontology.246a6a08-89d8-4efe-a3b1-582374523a74/actions/lpdo-execute-income-statement-extraction/apply, payload = {'parameters': {'extractionConfig': 'income_statement', 'submissionId': '1ed0e6cc-bcff-47c8-bcde-69f9ce96a916', 'extractionRunId': 'a5b2074f-7df0-43c7-af3e-7ab8d6e13abe'}}, response_status = 400, response_body = {'errorCode': 'INVALID_ARGUMENT', 'errorName': 'ApplyActionFailed', 'errorInstanceId': '165e92c4-061c-4ad0-b5f8-47735597294f', 'parameters': {'originalErrorName': 'Actions:UnsupportedSequenceOfObjectEdits', 'userErrorMessage': 'An unknown error has occurred', 'builderErrorMessage': 'An unknown error has occurred. Error name: Actions:UnsupportedSequenceOfObjectEdits'}}, start_time = 145.96, attempt_number = 3""""",Fixed it by re-run the  extraction,Infra - Third Party/API Connectivity
DE259612,[LMMP] [Prod Issue] [INC12600135] : none of the locations are generated,"Issue Description: none of the locations are generated User Name: Curry, Ross M User Email: <Ross.Curry@aig.com>Submitted Date & Time: Feb 26, 2026 6:34 AM Business Unit: US-PC50104-93Impacts multiple users or Business units: No Application Impacted: UW Assist ER4501645/ 8926505/ a1418a98-1576-4159-a8ac-ea2bbb0d906d",Timeout Issue,"Issue appears to be a transient error caused by AIP logic timeout (60sec), which interrupted the submission process.",Infrastructure issue,"Had a call with Palantir, they are working on it. As temporary fix the submission needs to be re-processed.We reached to product team to re-process the submission, as there is no reply we are closing the defect as discussed with Anila in standup.","3/6 - KL - Reached out to Product teams to reprocess the Submission, yet no reply from them. Anila also reached out to Product team but didn't hear back from them.3/5 - KL - Had a call with Palantir Engineer to find the RCA, and received a response from Palantir team stating that the issue appears to be a transient error caused by AIP logic timeout (60sec), which interrupted the submission process. The Palantir team suggested to re-process the submission. 3/3 - KL - Got Reply from Palantir team saying that this is a transient error which interrupted the submission and was asked to try re-processing the submission but we do not have access to reprocess the submission. The email thread is attached in the attachments. 3/3 - Still need RCA from Palantir. 02/26 Akash: We have emailed Palantir team for further analysis, below is our initial analysis.the AIP logic appears to be functioning correctly and locations are being extracted, we do not see any corresponding records for these locations in the “[UW Assist] ING Locations” ontology for this submission.Locations extracted at AIP logic:We are seeing below errors in function logs:Failed extraction: mmp-execute-extractions, run_id = a1418a98-1576-4159-a8ac-ea2bbb0d906d_1771824833.6374357, request_url = https://cyclamen.palantirfoundry.com/api/v1/ontologies/ri.ontology.main.ontology.246a6a08-89d8-4efe-a3b1-582374523a74/actions/mmp-execute-extractions/apply, payload = {'parameters': {'extractionConfig': 'producer_address_config4', 'submissionId': 'a1418a98-1576-4159-a8ac-ea2bbb0d906d'}}, response_status = 400, response_body = {'errorCode': 'INVALID_ARGUMENT', 'errorName': 'FunctionEncounteredUserFacingError', 'errorInstanceId': '78e120af-20a5-43cc-9cfe-77eac23a98a5', 'parameters': {'functionRid': 'ri.function-registry.main.function.2cd22a51-1f94-4513-b48b-06d99b6eef56', 'functionVersion': '0.3.0', 'message': 'runtimeError'}}, start_time = 316.41, attempt_number = 3Failed extraction: mmp-execute-occupancy-description-mapping-extraction, run_id = a1418a98-1576-4159-a8ac-ea2bbb0d906d_1771824833.6374357, request_url = https://cyclamen.palantirfoundry.com/api/v1/ontologies/ri.ontology.main.ontology.246a6a08-89d8-4efe-a3b1-582374523a74/actions/mmp-execute-occupancy-description-mapping-extraction/apply, payload = {'parameters': {'extractionConfig': '803aa45d-b1bd-4ebb-8028-d7f8ef370ff7', 'submissionId': 'a1418a98-1576-4159-a8ac-ea2bbb0d906d'}}, response_status = 400, response_body = {'errorCode': 'INVALID_ARGUMENT', 'errorName': 'FunctionEncounteredUserFacingError', 'errorInstanceId': '24f02e52-ac60-48ff-bef5-2477c8946506', 'parameters': {'functionRid': 'ri.function-registry.main.function.ac2d9b15-25d2-4f8e-91e3-42bc013f76af', 'functionVersion': '0.3.0', 'message': 'RemoteError: '}}, start_time = 206.67, attempt_number = 3Since locations are not being recorded in the “[UW Assist] ING Locations” ontology, they are not visible in the frontend. After noticing this pattern, we reviewed several submissions from the past week and observed similar issues in those cases as well. Below are the submissions we identified. d7fab1d9-b842-479f-995e-781d861e84960a0dab36-d565-496c-b854-642eadbdf3c479c787c9-3ca1-4ed3-a286-ad6dd0a82292381b34da-0f19-44c7-875e-9fac4b3288ee558f5a34-3702-49f4-a114-228194f8647bc00fd4c3-3e96-4f16-ab7b-1c64271f318b32ea15ac-0f8a-4bbe-bac1-734599dff61be88355d4-959b-492a-8803becbb87c3b20edbc7226-3ea7-476a-8a67-f9963a1fa10439385367-51ad-462c-9843-89efd05d3d5202/26: KL: I see that the AIP Logic is extracting locations from the Documents, but not storing in the Object Type.  ","Issue appears to be a transient error caused by AIP logic timeout (60sec), which interrupted the submission process.",Infra - Third Party/API Connectivity
DE260308,[LMMP] [Prod Issue] [INC12610048] : The user is getting a 503 error on UWA page,"Issue Description: The user is getting a 503 error on UWA page User Name: Gupta, Prachi User Email: Prachi.Gupta@aig.comSubmitted By: Prachi.Gupta@aig.comSubmitted Date & Time: Mar 2, 2026 5:08 AM Business Unit: US-PC50104-93 Impacts multiple users or Business units: No Country: United States Device Type: Laptop Browser Type: Chrome Source: Online Application Impacted: UW Assist Request Type: Report an issue Category: Others Reported Date & Time: Mar 2, 2026 5:08 AM ",Not a Defect,,User Training Issue,This is a sporadic issue and recommend the user to clear the browser cache.,"3/3 - KL - Didn't hear back from the UW.3/2 - KL - Naveen has sent a email to UW to retry after clearing the browser cache and retry because error 503 is server error usually due to overloading or maintenance, during this period there was 1.9.6 release and application was temporarily unavailable.",,Code - Edge Case
DE260176,[Prod Issue][Lexpro Cyber/E&O][Email] Total Claims Count not populating in summary page,"  1. Request Type: Report an Issue2. LOB: Lexpro Cyber/E&O 3. Location: Boston 4. Description: “Total” Fields not populating the the Loss Runs Analysis, when there are losses 5. Date/Time detected if different: 3/2/26 @ 1:02 pm6. Steps to replicate the issue: summary page for submission # 915297717. Control ID/ Submission #: Urban Engineers, Inc - # 915297718. Does this affect other users: yes9. Does this issue prevent you from processing the submission? yes10. Browser URL of the page issue reported: https://uwa-lpro.cyclamen.palantirfoundry.com/submission/5448497e-6d43-493e-889d-284485462b0611. Attachments/Screenshots (if any):",Model Inference,"Gowtham Janga 3/6/2026:Entity: Claims CountEnv: ProdSubmission ID: 5448497e-6d43-493e-889d-284485462b06UWA UI:Ontology Mapping API Names:Writeback Name:Upon looking into the defect, yes, the claims count of individual coverages is getting written to the Ontology [UW Assist] FL_US_Triage, but the total claims (summation of individual coverages) are not being written to the Ontology [UW Assist] Submission_intake_Transaction. So, I checked the writeback script and ontology name mappings for total claim entities, and everything seems to be mapped correctly. I also checked other submissions to see if this issue is happening across them and observed that total claims are being written correctly.Hence, marking this as a one-off issue. Example Submission: ",Tool Limitation,UW should be able to update the value manually using the pencil (edit) icon in the upper right hand corner of UWA. ,"  From: Miles, Jason <Jason.Miles@aig.com> Sent: Monday, March 2, 2026 1:44 PMTo: Nalluri, Ravinder <Ravinder.Nalluri@aig.com>; Bailer, Maggie <Margaret.Bailer@aig.com>; LexPro Cyber E&O UWA Feedback <LexPro_Cyber_E&O_UWA_Feedback@aig.com>Cc: UWA_ProdStabilizationTeam <UWA_ProdStabilizationTeam@aig.com>Subject: RE: Total Claims Count not populating in summary page  Maggie, You should be able to update the value manually using the pencil (edit) icon in the upper right hand corner of UWA.  The issue will still be investigated, but that should allow you to proceed with the submission.  Shoot me a ping if you need me to walk you through how to do it.    ***********************3/3/2026: Yash: Upon Investigating the submission the expected update to the transaction object did not occur. As per the executeLossHistoryClaimExtraction, the extracted values should be written back to the core_submission_intake_transaction after successful extraction. In this case upon reviewing the core_submission_intake_transaction the field for Loss Runs Open Claims Ct,Loss Runs Closed Claims Ct, Loss Runs Closed Claims Loss Am and Loss Runs Open Claims Loss Am have No Value in the object, whereas the uwassist_fl_us_triage which consists of Cyber Closed Claims 5 Year Ct has a value of 1.  ",Gowtham Janga 3/6/2026:Entity: Claims CountEnv: ProdSubmission ID: 5448497e-6d43-493e-889d-284485462b06UWA UI:Ontology Mapping API Names:Writeback Nam,Infra - Third Party/API Connectivity
DE260160,[Prod Issue][FLPNP][INC12611182] receiving an error on when attempting to use the UW Assist for the renewal process.,"Issue Description:This is an excess Fiduciary that I'm receiving an error on when attempting to use the UW Assist for the renewal process. Error I'm receiving is TypeError: Cannot read properties of undefied (reading 'status') User Name:     Dillon,Michelle User Email:     Michelle.Dillon@AIG.com Submission:     41679434 Submission Transaction Id: fac17a2f-3af1-4db8-b14f-9b8029b92c5bReported Date & Time:     Mar 2, 2026 10:51 AM ",Back-end Code Issue,Missed in 180 and 90 batch job on QUIC side.,Data Issue,Ran both 180 and 90 from QUIC side to fix.,"Hi Michelle, Thank you for your patience. The issue has been fixed, and it is available on UW Assist, You should be able to access it without any issues. Please let me know if you have any questions. Thanks & Regards, Partha Saradhi GunichettyLead – GenAI Assist Production Stabilization200 S College St, 13th Floor, Charlotte, NC 28202parthasaradhi.gunichetty@aig.com | www.aig.com",Missed in 180 and 90 batch job on QUIC side.,Code - Edge Case
DE259968,"[Prod Issue][FLPNP][INC12604038]Received TypeError: """"Cannot read properties of undefined""""","Issue Description:Received TypeError: """"Cannot read properties of undefined"""". This is an excess Side A renewal on the Excess Edge form. I thought this was in scope for UW Assist.  User Name:     Kuhen,Scott User Email:     Scott.Kuhen@AIG.com Submission:     73945934 Reported Date & Time:     Feb 27, 2026 9:59 AM  ",Back-end Code Issue,QUIC 90/180 Processing issue,Data Issue,Rerun the 90/180 process by QUIC team.,"Hi Scott, Good morning. Thank you for your patience. Now this has been fixed and available on UW Assist. Thanks & Regards, Partha Saradhi GunichettyLead – GenAI Assist Production Stabilization200 S College St, 13th Floor, Charlotte, NC 28202parthasaradhi.gunichetty@aig.com | www.aig.com",QUIC 90/180 Processing issue,Code - Edge Case
DE260136,[Prod Issue][FLPNP][Feedback] 2025 Income statement data did not pull through correctly,"Issue Description:Income statement data did not pull through correctly. 2025 infois on the pdf statement that was ingested with the rest of the financial data, but is blank in the system.  Direct URL: https://uwassist.aig.net/submission/35768256-51d4-40bd-a2ef-e468af8bd4ceUser Name:     Kuhen,Scott User Email:     Scott.Kuhen@AIG.comSubmission:     176664760 Reported Date & Time:     Mar 2, 2026 8:20 AM ",Document Source Extraction,"Inaccuracy with AIP Logic All Financials YoY #1 - Target Table Identifier in the initial run leading to missing metadata for Income Statement, Upon preview run it's extracting the results as expected.",Not reproducible,Direct edit by the UW (HITL),"The AIP Logic All Financials YoY #1 - Target Table Identifier, didn't extract the metadata in the initial run but upon preview run it was able to extract the financial metadata for Income Statement. Due to the lack of metadata for individual period of Income Statement the AIP Logic YoY Income Statement V3 didn't extract any financials due to lack of chunks for the respective period.Preview Run output:Direct edit by the UW. ","Inaccuracy with AIP Logic All Financials YoY #1 - Target Table Identifier in the initial run leading to missing metadata for Income Statement, Upon pr",Code - Edge Case
DE260946,[LMMC] [Defect] : LMMC Submission Stuck in Ingestion,Issue Description: LMMC submission (submission id: de69c27a-4b9b-4f71-a204-e50cf9b742ac) stuck in ingestion due to special characters in the document name (specifically the underscore).  User Name: Niner WilsonUser Email: nwilson@palantir.comSubmitted By:  Submitted Date & Time:  Business Unit: LMMCImpacts multiple users or Business units: NoApplication Impacted:  Request Type: IngestionCategory:  Reported Date & Time: 3/5/2026 3:41 PM,Back-end Code Issue,stuck in ingestion due to special characters in the document name (specifically the underscore),Tool Limitation,,"Checked with shared services team, they have manually processed the submission. S8642920 this is SNo/WWIP submission id for this account.",stuck in ingestion due to special characters in the document name (specifically the underscore),Code - Edge Case
DE260570,"[LMMC] [Feedback] :  Tool correctly identifies the 10 locations listed on the ACORD, but 4 are listed.","Issue Description:The tool correctly identifies the 10 locations listed on the ACORD. However, when I open the indication only 4 are listed. I don't know if that is a shared service issue or an issue with the tool but wanted to flag it. I know we are moving away from having shared services enter the locations on indications.  User Name: Hollowell IV, William User Email: bray.hollowell@aig.com Submitted By: bray.hollowell@aig.com Submitted Date & Time: Mar 4, 2026 6:04 PM Business Unit: US-PC50100-76 Impacts multiple users or Business units: No Application Impacted: UW Assist Request Type: Feedback/Improvement Category:  Others Submission:  S8771253 / 4a7f0e98-67a0-47cb-821b-bdb0ab12115eReported Date & Time: Mar 4, 2026 6:04 PM ",HITL Submit Issue,,Not a Defect,,"3/5 : Potential root cause for this could be ‘shared service team missed adding locations. Locations were later updated manually, we can see all 10 locations listed on WWIP Premises section. The locations do not auto populate from UWA, shared services team should manually update it. Whenever there is an issue with the locations, either the underwriter can update it or we can reach out to the shared services team for the update.This can be the probable cause (SSC missed adding locations) as backend extraction for all 10 locations are happening and passed on to UI through API call.  ",,Infra - Third Party/API Connectivity
DE261172,"[LMMC] [Observation] :  Tool correctly identifies the 10 locations listed on the ACORD, but 4 are listed.","Issue Description:The tool correctly identifies the 10 locations listed on the ACORD. However, when I open the indication only 4 are listed. I don't know if that is a shared service issue or an issue with the tool but wanted to flag it. I know we are moving away from having shared services enter the locations on indications.  User Name: Hollowell IV, William User Email: bray.hollowell@aig.com Submitted By: bray.hollowell@aig.com Submitted Date & Time: Mar 4, 2026 6:04 PM Business Unit: US-PC50100-76 Impacts multiple users or Business units: No Application Impacted: UW Assist Request Type: Feedback/Improvement Category:  Others Submission:  S8771253 / 4a7f0e98-67a0-47cb-821b-bdb0ab12115eReported Date & Time: Mar 4, 2026 6:04 PM ",Not a Defect,,Not a Defect,,"3/5 : Potential root cause for this could be ‘shared service team missed adding locations. Locations were later updated manually, we can see all 10 locations listed on WWIP Premises section. The locations do not auto populate from UWA, shared services team should manually update it. Whenever there is an issue with the locations, either the underwriter can update it or we can reach out to the shared services team for the update.This can be the probable cause (SSC missed adding locations) as backend extraction for all 10 locations are happening and passed on to UI through API call.  ",,Infra - Third Party/API Connectivity
